                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.21039,                0.28986,                0.80498,                 0.6849,                0.13847,                0.14457,                0.09046,                 2.0645,                 4.6459,                 2.1548,               0.001783,               0.001783,               0.001783
                     85,                0.21703,                0.28286,                0.80516,                0.65525,                0.08523,                0.09386,                0.07413,                 2.0234,                 4.8411,                 2.1661,               0.001684,               0.001684,               0.001684
                     86,                0.21816,                0.30536,                0.80286,                0.48947,                0.10795,                0.12124,                0.08728,                 2.0997,                 4.7116,                 2.2408,               0.001585,               0.001585,               0.001585
                     87,                0.21597,                0.28007,                0.80097,                0.64269,                 0.1392,                0.13884,                0.09208,                 2.1851,                 4.5229,                 2.3499,               0.001486,               0.001486,               0.001486
                     88,                 0.2013,                 0.2561,                0.79675,                0.88232,                0.13638,                0.15248,                0.10225,                 2.1425,                 4.7194,                 2.2713,               0.001387,               0.001387,               0.001387
                     89,                0.20341,                0.28096,                0.80667,                0.77858,                0.08354,                0.09632,                0.07438,                 2.0812,                 4.8949,                 2.1975,               0.001288,               0.001288,               0.001288
                     90,                0.21054,                0.28079,                0.80191,                0.86703,                0.05398,                0.07436,                0.05723,                 2.1537,                 4.8026,                 2.1932,               0.001189,               0.001189,               0.001189
                     91,                0.19337,                0.24609,                 0.7795,                0.82074,                 0.1069,                0.14646,                0.09804,                 2.1646,                 4.6173,                 2.2258,                0.00109,                0.00109,                0.00109
                     92,                0.19787,                0.24101,                0.77443,                0.85324,                0.16026,                0.21115,                 0.1355,                 2.1267,                 4.5087,                 2.2209,               0.000991,               0.000991,               0.000991
                     93,                0.18995,                0.23385,                0.79406,                0.81706,                 0.1818,                0.21167,                0.13866,                 2.0792,                 4.3897,                 2.2349,               0.000892,               0.000892,               0.000892
                     94,                0.19034,                0.21636,                0.78917,                0.87719,                0.18466,                0.22232,                0.13737,                 2.1315,                 4.3401,                 2.2774,               0.000793,               0.000793,               0.000793
                     95,                0.19511,                0.22783,                0.77824,                0.75864,                0.18466,                0.22772,                0.13686,                 2.1652,                 4.3789,                 2.3141,               0.000694,               0.000694,               0.000694
                     96,                0.18693,                0.21323,                0.78993,                0.62629,                0.16654,                 0.2094,                0.12683,                 2.1834,                 4.3897,                 2.3477,               0.000595,               0.000595,               0.000595
                     97,                0.18405,                0.21575,                0.78764,                0.68837,                 0.1392,                0.20925,                0.12717,                 2.1665,                 4.4841,                 2.3058,               0.000496,               0.000496,               0.000496
                     98,                0.18053,                0.21582,                0.79189,                0.91146,                 0.1392,                0.20212,                0.12725,                 2.1368,                 4.5455,                 2.2711,               0.000397,               0.000397,               0.000397
                     99,                0.17041,                0.20229,                 0.7887,                0.97445,                0.13909,                0.17743,                0.11706,                  2.094,                 4.5551,                  2.207,               0.000298,               0.000298,               0.000298
