                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.1658,                0.66766,                0.85549,                0.85555,                0.80612,                0.86805,                0.46349,                 1.5421,                0.75902,                0.94143,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.1487,                0.65336,                0.86474,                0.88315,                0.80976,                0.88128,                0.45636,                 1.6098,                0.75713,                0.95537,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.1718,                0.65829,                0.86082,                0.85574,                 0.7551,                0.85738,                 0.4308,                 1.6322,                0.79796,                0.94806,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.1497,                0.67685,                0.85628,                0.80992,                0.84184,                0.87553,                 0.4403,                 1.6014,                0.78162,                 0.9479,               0.008218,               0.008218,               0.008218
                     92,                 1.1524,                0.65856,                0.86131,                0.84044,                0.80612,                0.86451,                0.45224,                 1.6051,                0.76181,                0.95307,              0.0081982,              0.0081982,              0.0081982
                     93,                  1.156,                0.64705,                0.85512,                0.85394,                0.83163,                0.87822,                0.45018,                 1.6295,                0.75842,                0.94835,              0.0081784,              0.0081784,              0.0081784
                     94,                 1.1381,                0.64463,                0.85847,                0.82677,                0.80612,                0.87828,                0.45201,                 1.5725,                0.77765,                0.94868,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.1699,                0.65817,                0.86158,                0.89809,                0.77551,                0.86061,                0.44029,                 1.6101,                0.78872,                0.96329,              0.0081388,              0.0081388,              0.0081388
                     96,                 1.1531,                0.65997,                0.84968,                0.83116,                0.77861,                0.84986,                 0.4459,                  1.628,                 0.7537,                0.95494,               0.008119,               0.008119,               0.008119
                     97,                 1.1427,                0.65434,                0.85614,                0.88012,                0.82404,                0.87992,                0.44894,                 1.5962,                0.72905,                0.94787,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.1543,                0.65984,                0.85717,                0.90074,                0.77041,                0.86041,                0.44311,                 1.6341,                0.76465,                0.95781,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.1294,                0.64586,                0.85746,                0.82646,                0.82613,                0.85144,                0.44551,                 1.5553,                0.79869,                0.94113,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.1432,                0.65258,                0.85109,                0.90198,                0.79814,                0.87923,                0.44384,                 1.5794,                0.77481,                0.93395,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.1502,                0.64952,                0.85245,                0.85646,                0.85714,                0.89988,                0.47889,                 1.5486,                0.74554,                0.93051,                0.00802,                0.00802,                0.00802
                    102,                 1.1256,                0.64402,                0.85673,                 0.8084,                0.85204,                0.88241,                0.44375,                 1.5883,                 0.7746,                0.93599,              0.0080002,              0.0080002,              0.0080002
                    103,                 1.1108,                0.63879,                0.84985,                0.81551,                0.82653,                0.88371,                0.46066,                 1.5441,                0.77219,                0.93485,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.1069,                0.62771,                0.85387,                0.88997,                0.82143,                0.88307,                0.45389,                 1.5153,                 0.7566,                0.92031,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.1259,                0.63768,                0.85162,                0.86684,                0.79592,                0.87323,                0.44946,                  1.626,                0.76427,                 0.9583,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.1287,                0.63562,                0.85635,                0.86654,                0.82816,                0.88586,                0.45036,                 1.6098,                0.76184,                0.94109,               0.007921,               0.007921,               0.007921
                    107,                 1.0985,                0.61969,                0.85568,                0.88931,                0.80102,                0.89285,                 0.4436,                 1.6086,                0.74168,                0.95875,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.1339,                0.64551,                0.85075,                0.85824,                 0.8031,                0.86194,                0.45736,                 1.5844,                0.73828,                0.94729,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.1119,                0.62587,                0.84771,                0.84776,                0.84694,                0.89849,                0.46727,                 1.5409,                 0.7632,                0.93271,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.1146,                0.63727,                0.85549,                0.86387,                0.79592,                0.84573,                 0.4452,                 1.5736,                0.78757,                0.93184,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.1103,                0.62763,                0.84938,                0.89065,                0.83163,                0.89365,                0.45717,                 1.5723,                0.76034,                0.93771,               0.007822,               0.007822,               0.007822
                    112,                 1.0901,                0.61472,                0.85056,                0.92885,                0.81122,                0.90071,                 0.4689,                 1.5377,                0.74911,                0.92605,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.0884,                0.61541,                0.84304,                0.83286,                0.84694,                0.84695,                 0.4413,                 1.5842,                 0.7885,                0.94592,              0.0077824,              0.0077824,              0.0077824
                    114,                 1.0949,                0.61444,                0.84338,                0.85046,                 0.7398,                0.83238,                 0.4414,                 1.5978,                0.82423,                0.95109,              0.0077626,              0.0077626,              0.0077626
                    115,                 1.1058,                0.62207,                0.84921,                0.83873,                0.81633,                0.89392,                 0.4789,                 1.5345,                0.73084,                0.93148,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.1014,                0.60992,                0.85463,                0.85878,                 0.8067,                0.88562,                0.49618,                 1.4651,                0.70261,                0.91575,               0.007723,               0.007723,               0.007723
                    117,                 1.0757,                 0.6098,                0.84513,                0.83888,                0.81633,                0.86821,                 0.4675,                 1.5065,                0.73417,                0.93037,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.0823,                0.60572,                0.85377,                0.81657,                0.84038,                0.88609,                0.49289,                 1.4701,                0.70993,                 0.9288,              0.0076834,              0.0076834,              0.0076834
                    119,                 1.0886,                0.60689,                0.84484,                0.90308,                0.85573,                0.90893,                0.49394,                  1.442,                0.69062,                0.91576,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.1143,                 0.6229,                0.84831,                0.88428,                0.85776,                0.90732,                0.48971,                 1.5488,                0.69688,                0.92888,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.0508,                0.59587,                0.84385,                0.87721,                0.85204,                0.88853,                0.46548,                 1.5408,                0.71508,                0.92299,               0.007624,               0.007624,               0.007624
                    122,                 1.0835,                0.60187,                 0.8445,                0.83924,                0.82568,                0.88156,                0.46442,                 1.5169,                0.74414,                0.92469,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.0667,                0.60088,                0.84877,                0.89658,                0.82653,                 0.8968,                 0.4784,                  1.504,                0.73479,                0.92175,              0.0075844,              0.0075844,              0.0075844
                    124,                 1.0958,                0.62373,                0.84778,                0.90459,                0.77398,                0.87561,                0.47518,                 1.4812,                0.73611,                  0.916,              0.0075646,              0.0075646,              0.0075646
                    125,                 1.0725,                0.59132,                0.84513,                0.87117,                0.82802,                 0.8843,                0.47204,                  1.518,                0.71458,                0.92864,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.0611,                0.59875,                0.84255,                 0.8377,                0.86904,                0.88289,                0.47696,                 1.5079,                0.73572,                0.93021,               0.007525,               0.007525,               0.007525
                    127,                  1.066,                0.59852,                 0.8392,                0.87899,                0.77041,                0.85488,                 0.4529,                 1.5034,                0.83623,                0.92618,              0.0075052,              0.0075052,              0.0075052
                    128,                 1.0914,                0.60262,                0.84925,                0.83746,                0.81633,                0.86775,                0.46265,                 1.4984,                0.77817,                0.93321,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.0685,                0.59838,                0.84769,                 0.8519,                0.84694,                0.89087,                0.46749,                 1.5139,                0.71702,                0.93584,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.0655,                0.59666,                0.84587,                0.85902,                0.80827,                0.86444,                0.48829,                 1.4854,                  0.724,                0.93713,              0.0074458,              0.0074458,              0.0074458
                    131,                 1.0729,                0.58641,                0.84496,                0.86549,                 0.7602,                0.83303,                0.44647,                 1.5356,                0.74088,                0.94739,               0.007426,               0.007426,               0.007426
                    132,                 1.0672,                0.59983,                0.84349,                0.84999,                 0.8384,                0.87397,                0.47183,                 1.5287,                0.71385,                0.93561,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.0805,                0.60055,                0.84842,                0.88232,                0.84694,                0.89092,                0.47937,                 1.4935,                0.72803,                0.91367,              0.0073864,              0.0073864,              0.0073864
                    134,                 1.0642,                0.59093,                0.84307,                0.89546,                0.84184,                0.88337,                0.46476,                 1.5861,                0.75262,                0.94753,              0.0073666,              0.0073666,              0.0073666
                    135,                 1.0721,                0.59387,                0.83979,                 0.9158,                0.83163,                0.89545,                0.48928,                 1.4862,                0.70705,                0.93986,              0.0073468,              0.0073468,              0.0073468
                    136,                 1.0407,                0.58937,                0.84328,                0.85841,                0.84694,                0.88829,                0.49692,                 1.4867,                0.70655,                0.93152,               0.007327,               0.007327,               0.007327
                    137,                 1.0493,                0.59794,                0.84242,                0.85506,                0.84278,                 0.8953,                0.49847,                 1.4602,                0.71224,                0.91815,              0.0073072,              0.0073072,              0.0073072
                    138,                 1.0431,                0.58566,                0.84455,                0.89822,                0.78571,                0.86225,                0.48318,                 1.4864,                0.74138,                 0.9346,              0.0072874,              0.0072874,              0.0072874
                    139,                 1.0361,                0.58188,                0.84271,                0.91318,                0.80496,                0.88695,                0.49606,                 1.5026,                0.73166,                0.92595,              0.0072676,              0.0072676,              0.0072676
                    140,                 1.0396,                 0.5881,                0.84046,                0.88781,                0.85714,                0.89324,                0.48362,                  1.474,                0.75627,                0.92056,              0.0072478,              0.0072478,              0.0072478
                    141,                 1.0458,                0.58674,                0.84195,                0.90408,                 0.7694,                0.86893,                0.47316,                 1.4965,                0.75329,                0.92484,               0.007228,               0.007228,               0.007228
                    142,                 1.0743,                0.58946,                0.84303,                0.91977,                 0.7602,                0.87736,                0.47743,                 1.4751,                0.77349,                0.92142,              0.0072082,              0.0072082,              0.0072082
                    143,                 1.0499,                0.57516,                 0.8447,                0.92772,                0.76531,                0.86664,                0.48574,                  1.472,                0.72359,                0.91618,              0.0071884,              0.0071884,              0.0071884
                    144,                 1.0426,                0.58085,                0.84827,                0.88292,                0.80798,                0.87433,                0.49791,                 1.4597,                0.81045,                0.91958,              0.0071686,              0.0071686,              0.0071686
                    145,                 1.0487,                0.58168,                0.84596,                0.89278,                0.85714,                0.89944,                0.48046,                 1.4689,                0.70223,                0.92682,              0.0071488,              0.0071488,              0.0071488
                    146,                 1.0608,                0.59444,                0.84062,                0.86897,                0.85204,                0.90163,                0.48448,                 1.4811,                0.72411,                0.91502,               0.007129,               0.007129,               0.007129
                    147,                 1.0517,                0.58256,                0.84133,                0.88465,                0.86735,                0.91964,                0.51198,                 1.4647,                0.71971,                0.92206,              0.0071092,              0.0071092,              0.0071092
                    148,                 1.0529,                0.58304,                0.83877,                0.89549,                0.84184,                0.90603,                0.46369,                 1.5636,                 0.7221,                0.93447,              0.0070894,              0.0070894,              0.0070894
                    149,                 1.0366,                0.56933,                0.84077,                0.88858,                0.78061,                0.87962,                0.47382,                 1.5089,                0.73188,                 0.9351,              0.0070696,              0.0070696,              0.0070696
                    150,                 1.0239,                0.56677,                0.83445,                0.86715,                0.83259,                0.89013,                0.50239,                 1.4698,                0.72374,                0.93007,              0.0070498,              0.0070498,              0.0070498
